group_id,Output,difference
132,Move,0.36666666666666714
133,Grasp ,0.03333333333333499
134,Move,0.16666666666666785
135,Grasp ,0.93333333333333
136,Move,0.1333333333333364
137,Grasp ,0.03333333333333144
138,Move,0.10000000000000142
139,Grasp ,0.033333333333327886
140,Move,0.033333333333338544
141,Grasp ,0.09999999999999787
142,Position,0.06666666666666643
143,Grasp ,0.03333333333333144
144,Position,0.06666666666666998
145,Release,0.06666666666666643
146,Position,0.10000000000000142
147,Move,0.033333333333327886
148,Position,0.23333333333333428
149,Grasp ,0.033333333333338544
150,Position,0.06666666666666643
151,Move,0.03333333333333144
152,Position,1.1333333333333293
153,Reach ,0.033333333333338544
154,Release,0.06666666666666643
155,Move,0.399999999999995
156,Grasp ,0.033333333333338544
157,Move,0.06666666666666643
158,Grasp ,0.03333333333333144
159,Move,0.09999999999999787
160,Reach ,0.033333333333338544
161,Move,0.03333333333333144
162,Reach ,0.03333333333333499
163,Release,0.23333333333333073
164,Move,0.40000000000000213
165,Grasp ,0.06666666666666643
166,Move,0.06666666666666643
167,Idle,0.03333333333333144
168,Release,0.06666666666666643
169,Idle,0.06666666666666998
170,Position,0.03333333333333144
171,Grasp ,0.03333333333333499
172,Position,0.03333333333333144
173,Grasp ,1.1666666666666679
174,Position,0.13333333333333286
175,Grasp ,0.03333333333333144
176,Position,0.56666666666667
177,Move,0.03333333333333144
178,Position,0.0
179,Move,0.03333333333333499
180,Position,0.0
181,Move,0.03333333333333144
182,Position,0.1999999999999993
183,Idle,0.06666666666666643
184,Release,0.03333333333333499
185,Position,0.03333333333333144
186,Release,0.03333333333333144
187,Grasp ,0.23333333333333783
188,Position,0.1666666666666643
189,Move,0.06666666666666643
190,Position,0.03333333333333144
191,Move,0.06666666666666998
192,Position,0.03333333333333499
193,Grasp ,0.06666666666666288
194,Position,0.03333333333333499
195,Grasp ,0.16666666666666785
196,Position,0.03333333333333144
197,Move,0.06666666666666643
198,Position,0.06666666666666998
199,Move,0.03333333333333144
200,Position,0.3000000000000007
201,Idle,0.06666666666666643
202,Release,0.13333333333333286
203,Idle,0.06666666666666643
204,Position,0.23333333333333428
205,Release,0.1333333333333293
206,Position,0.10000000000000497
207,Grasp ,0.03333333333333144
