x,y
416,319
413,320
411,319
404,320
402,319
401,318
401,318
401,318
409,320
408,320
407,320
405,320
405,320
404,320
405,321
403,321
403,321
403,321
403,322
402,321
402,321
404,323
410,328
415,332
418,337
431,347
432,347
435,349
451,344
464,336
465,336
489,320
495,312
498,307
498,308
502,296
503,291
503,290
503,288
502,287
502,286
501,286
501,285
502,286
503,282
502,282
503,282
503,282
503,281
503,281
502,280
502,279
502,279
502,275
501,274
501,274
501,274
501,274
502,274
502,274
502,274
502,274
510,266
510,264
510,260
510,260
510,260
510,259
508,258
508,258
508,257
508,257
506,258
505,257
505,257
504,257
504,257
505,258
504,258
502,262
501,264
499,266
494,272
493,272
488,277
486,282
485,283
481,289
480,289
477,290
477,290
477,290
476,289
490,294
490,295
493,302
523,351
530,370
535,382
534,385
532,384
529,383
529,382
529,382
530,381
530,381
529,381
529,381
529,371
529,367
528,361
527,336
520,319
517,294
508,288
505,269
504,269
502,266
502,266
500,266
500,265
500,265
500,265
500,266
500,267
499,266
499,267
499,267
498,267
497,268
497,269
497,268
496,269
496,269
497,269
497,269
497,269
496,269
496,269
496,269
496,268
496,265
497,263
496,255
496,255
495,255
500,244
503,243
503,244
507,243
511,241
511,241
510,240
510,240
510,240
510,239
510,240
509,239
508,238
509,238
509,238
509,238
508,238
508,238
509,239
509,239
508,240
507,245
506,246
506,246
504,250
503,254
500,262
497,268
496,272
495,277
493,280
486,289
483,290
479,292
479,292
479,293
480,295
479,294
488,286
487,286
504,284
505,284
504,283
504,283
503,283
503,282
501,278
501,278
498,276
498,276
497,275
495,274
495,273
495,273
494,269
493,269
492,269
492,269
491,269
490,269
490,268
491,266
492,266
492,267
334,358
492,268
492,268
494,274
492,279
483,303
478,307
458,373
463,376
481,379
486,381
526,386
527,391
517,406
512,420
509,430
507,429
507,429
471,354
470,352
475,352
495,354
507,359
522,364
527,366
538,368
541,370
547,385
548,388
547,389
546,385
534,392
523,392
514,389
494,384
476,379
468,379
455,383
448,387
441,388
425,395
414,399
267,497
408,395
257,501
414,396
252,512
422,395
267,525
550,417
558,416
567,412
576,396
571,384
569,383
566,384
565,384
566,386
569,385
571,386
571,386
571,385
571,386
571,387
571,387
572,387
571,386
570,387
568,388
568,388
568,388
568,388
567,387
567,385
566,384
563,384
562,385
562,384
562,383
562,382
562,382
562,383
562,384
560,385
561,385
562,385
563,385
563,385
563,385
563,385
563,386
563,386
564,386
563,386
562,386
562,386
563,386
464,338
466,340
444,333
432,324
429,320
426,320
423,319
420,319
419,317
418,316
417,316
419,318
424,324
429,340
433,344
438,349
454,355
460,362
469,367
498,364
520,363
564,351
565,352
566,354
566,355
565,355
557,356
468,351
488,336
502,317
508,305
514,288
515,286
514,286
515,284
514,281
513,280
513,279
512,275
511,272
511,266
512,267
512,266
515,256
516,249
516,245
516,245
516,244
515,243
512,246
511,247
508,251
502,257
494,261
492,267
493,269
490,280
488,282
489,282
508,301
497,286
537,350
538,352
543,372
544,379
545,380
545,380
545,379
545,379
516,312
515,291
511,271
506,268
504,267
503,266
504,266
504,268
504,268
505,269
504,269
503,269
502,270
502,270
501,270
501,269
502,269
508,255
509,253
509,250
509,250
509,248
508,245
508,245
508,244
507,244
507,244
508,244
506,247
506,250
502,256
503,257
499,265
496,270
490,279
485,284
486,287
492,286
498,288
498,289
497,290
493,290
491,290
489,289
488,286
486,279
486,278
487,275
486,276
487,276
485,272
484,268
486,266
486,263
484,256
481,257
500,263
517,316
526,404
356,325
536,415
541,425
539,427
534,434
535,435
527,433
