Output,Time (S)
Position,21.833333333333332
Reach ,21.866666666666667
Release,21.933333333333334
Move,21.966666666666665
Move,22.0
Move,22.033333333333335
Move,22.066666666666666
Move,22.1
Move,22.133333333333333
Move,22.166666666666668
Move,22.2
Move,22.233333333333334
Move,22.266666666666666
Move,22.3
Move,22.333333333333332
Grasp ,22.366666666666667
Move,22.4
Move,22.433333333333334
Grasp ,22.466666666666665
Move,22.5
Move,22.533333333333335
Move,22.566666666666666
Reach ,22.6
Move,22.633333333333333
Reach ,22.666666666666668
Release,22.7
Release,22.733333333333334
Release,22.766666666666666
Release,22.8
Release,22.833333333333332
Release,22.866666666666667
Release,22.9
Move,22.933333333333334
Move,23.0
Move,23.033333333333335
Move,23.066666666666666
Move,23.1
Move,23.133333333333333
Move,23.166666666666668
Move,23.2
Move,23.233333333333334
Move,23.266666666666666
Move,23.3
Grasp ,23.333333333333332
Grasp ,23.366666666666667
Move,23.433333333333334
Idle,23.466666666666665
Release,23.5
Release,23.533333333333335
Idle,23.566666666666666
Idle,23.6
Position,23.633333333333333
Grasp ,23.666666666666668
Position,23.7
Grasp ,23.733333333333334
Grasp ,23.766666666666666
Grasp ,23.8
Grasp ,23.833333333333332
Grasp ,23.866666666666667
Grasp ,23.9
Grasp ,23.933333333333334
Grasp ,23.966666666666665
Grasp ,24.0
Grasp ,24.033333333333335
Grasp ,24.066666666666666
Grasp ,24.1
Grasp ,24.133333333333333
Grasp ,24.166666666666668
Grasp ,24.2
Grasp ,24.233333333333334
Grasp ,24.266666666666666
Grasp ,24.3
Grasp ,24.333333333333332
Grasp ,24.366666666666667
Grasp ,24.4
Grasp ,24.433333333333334
Grasp ,24.466666666666665
Grasp ,24.5
Grasp ,24.533333333333335
Grasp ,24.566666666666666
Grasp ,24.6
Grasp ,24.633333333333333
Grasp ,24.666666666666668
Grasp ,24.7
Grasp ,24.733333333333334
Grasp ,24.766666666666666
Grasp ,24.8
Grasp ,24.833333333333332
Grasp ,24.866666666666667
Position,24.9
Position,24.933333333333334
Position,24.966666666666665
Position,25.0
Grasp ,25.033333333333335
Position,25.066666666666666
Position,25.1
Position,25.133333333333333
Position,25.166666666666668
Position,25.2
Position,25.233333333333334
Position,25.266666666666666
Position,25.3
Position,25.333333333333332
Position,25.366666666666667
Position,25.4
Position,25.433333333333334
Position,25.466666666666665
Position,25.5
Position,25.533333333333335
Position,25.566666666666666
Position,25.6
Move,25.633333333333333
Position,25.633333333333333
Move,25.666666666666668
Position,25.666666666666668
Move,25.7
Position,25.7
Position,25.733333333333334
Position,25.766666666666666
Position,25.8
Position,25.833333333333332
Position,25.866666666666667
Position,25.9
Idle,25.933333333333334
Idle,25.966666666666665
Release,26.0
Position,26.033333333333335
Release,26.066666666666666
Grasp ,26.1
Grasp ,26.133333333333333
Grasp ,26.166666666666668
Grasp ,26.2
Grasp ,26.233333333333334
Grasp ,26.266666666666666
Grasp ,26.3
Position,26.333333333333332
Position,26.366666666666667
Position,26.4
Position,26.433333333333334
Position,26.466666666666665
Move,26.5
Move,26.533333333333335
Position,26.566666666666666
Move,26.6
Move,26.633333333333333
Position,26.666666666666668
Grasp ,26.7
Grasp ,26.733333333333334
Position,26.766666666666666
Grasp ,26.8
Grasp ,26.833333333333332
Grasp ,26.866666666666667
Grasp ,26.9
Grasp ,26.933333333333334
Position,26.966666666666665
Move,27.0
Move,27.033333333333335
Position,27.066666666666666
Position,27.1
Move,27.133333333333333
Position,27.166666666666668
Position,27.2
Position,27.233333333333334
Position,27.266666666666666
Position,27.3
Position,27.333333333333332
Position,27.366666666666667
Position,27.4
Position,27.433333333333334
Idle,27.466666666666665
Idle,27.5
Release,27.533333333333335
Release,27.566666666666666
Release,27.6
Release,27.633333333333333
Idle,27.666666666666668
Idle,27.7
Position,27.733333333333334
Position,27.766666666666666
Position,27.8
Position,27.833333333333332
Position,27.866666666666667
Position,27.9
Position,27.933333333333334
Release,28.0
Release,28.033333333333335
Release,28.066666666666666
Position,28.1
Position,28.133333333333333
Position,28.166666666666668
Grasp ,28.2
