x,y,Time
474,527,0.0
474,523,0.0
474,525,0.0
475,525,0.0
474,525,0.0
473,524,0.0
476,520,0.0
476,520,0.0
475,520,0.0
474,517,0.0
475,517,0.0
475,518,0.0
474,516,0.0
471,514,0.0
473,513,0.0
473,514,0.0
480,514,0.0
481,516,0.0
483,522,0.0
483,523,0.0
485,527,0.0
486,528,0.0
499,529,0.0
504,527,0.0
504,525,0.0
522,521,0.0
518,521,0.0
511,520,0.0
494,519,0.0
490,521,0.0
497,520,0.0
510,519,0.0
515,513,0.0
514,513,0.0
506,512,0.0
500,513,0.0
502,507,0.0
507,502,0.0
512,497,0.0
511,496,0.0
528,480,0.0
534,473,0.0
531,460,0.0
526,446,0.0
524,444,0.0
523,435,0.0
520,431,0.0
520,430,0.0
520,430,0.0
520,429,0.0
520,429,0.0
520,428,0.0
520,428,0.0
520,428,0.0
520,428,0.0
520,429,0.0
520,429,0.0
519,429,0.0
518,429,0.0
519,429,0.0
521,428,0.0
328,420,0.0
532,424,0.0
344,413,0.0
537,420,0.0
557,401,0.0
561,396,0.0
567,388,0.0
574,373,0.0
581,364,0.0
582,365,0.0
588,382,0.0
589,399,0.0
585,413,0.0
585,415,0.0
553,457,0.0
546,461,0.0
544,462,0.0
542,462,0.0
540,459,0.0
541,441,0.0
536,421,0.0
527,408,0.0
522,388,0.0
514,375,0.0
508,371,0.0
501,362,0.0
503,361,0.0
500,359,0.0
501,360,0.0
499,360,0.0
504,359,0.0
505,361,0.0
514,360,0.0
620,329,0.0
621,332,0.0
622,334,0.0
624,335,0.0
624,336,0.0
623,335,0.0
625,336,0.0
624,338,0.0
624,338,0.0
624,338,0.0
623,337,0.0
623,337,0.0
623,337,0.0
624,338,0.0
624,337,0.0
625,337,0.0
625,338,0.0
624,338,0.0
625,338,0.0
625,338,0.0
625,338,0.0
625,338,0.0
624,338,0.0
626,338,0.0
624,338,0.0
626,338,0.0
625,338,0.0
626,338,0.0
625,338,0.0
625,338,0.0
625,337,0.0
624,337,0.0
624,337,0.0
624,338,0.0
624,342,0.0
626,348,0.0
632,357,0.0
631,355,0.0
630,354,0.0
629,350,0.0
626,341,0.0
626,343,0.0
628,342,0.0
627,341,0.0
626,341,0.0
626,341,0.0
626,341,0.0
626,341,0.0
626,341,0.0
625,341,0.0
625,341,0.0
687,491,0.0
664,495,0.0
653,498,0.0
649,495,0.0
652,487,0.0
650,485,0.0
649,484,0.0
648,484,0.0
648,483,0.0
647,483,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
647,482,0.0
659,470,0.0
674,450,0.0
679,446,0.0
681,448,0.0
681,437,0.0
681,434,0.0
682,430,0.0
681,431,0.0
682,420,0.0
684,420,0.0
683,419,0.0
683,419,0.0
680,414,0.0
681,413,0.0
681,412,0.0
680,411,0.0
680,411,0.0
680,411,0.0
681,412,0.0
678,412,0.0
669,417,0.0
661,421,0.0
655,422,0.0
635,427,0.0
618,424,0.0
616,421,0.0
617,420,0.0
626,409,0.0
625,410,0.0
628,407,0.0
633,394,0.0
635,393,0.0
634,393,0.0
634,385,0.0
633,381,0.0
633,378,0.0
634,378,0.0
633,360,0.0
633,354,0.0
635,348,0.0
633,346,0.0
630,343,0.0
627,342,0.0
627,343,0.0
